User ID,Username,Profile Picture,Bio,Followers,Following,Posts,Likes,Comments,Job Search and Recruitment,Company Pages,Groups and Communities,Recommendations,Endorsements,Networking Opportunities,Learning and Development,Analytics and Insights,Time Spent (Hours),Skill Assessments,Alumni Networking,Status
1,user_1,profile_1.jpg,Marketing Specialist ,814,470,25,183,9,Yes,Google,Technology Professionals,23,50,Conferences,Webinars,Job Application Insights,5.3,Data Analysis,No,0
2,user_2,profile_2.jpg,Software Engineer ,973,62,17,191,9,Yes,Microsoft,Project Managers,14,62,Conferences,Online Courses,Post Engagement,6.5,Software Engineer ,Yes,1
3,user_3,profile_3.jpg,Human Resources ,117,308,25,148,8,No,Amazon,Data Science Enthusiasts,44,32,Conferences,Online Courses,Post Engagement,8.7,java,No,0
4,user_4,profile_4.jpg,Marketing Specialist ,770,104,21,166,4,Yes,LinkedIn,Marketing Experts,41,57,Networking Events,Skill Development Programs,Post Engagement,9.8,Data Analysis,No,0
5,user_5,profile_5.jpg,Data Scientist ,373,187,41,25,7,No,Facebook,Marketing Experts,14,100,Conferences,Certifications,Job Application Insights,7.1,Data Scientist ,Yes,0
6,user_6,profile_6.jpg,java developer,788,306,13,48,9,Yes,Google,Project Managers,30,91,Mentorship Programs,Webinars,Job Application Insights,9,Project Manager ,No,0
7,user_7,profile_7.jpg,Human Resources ,913,376,31,113,4,Yes,Microsoft,Marketing Experts,38,59,Networking Events,Certifications,Post Engagement,7.8,Python developer,Yes,0
8,user_8,profile_8.jpg,Data Analysis,465,167,26,157,2,No,Amazon,Marketing Experts,38,56,Networking Events,Skill Development Programs,Learning Progress,5.8,Human Resources ,No,0
9,user_9,profile_9.jpg,Human Resources ,857,254,17,117,6,Yes,LinkedIn,Data Science Enthusiasts,43,87,Webinars,Certifications,Learning Progress,5.8,java,No,0
10,user_10,profile_10.jpg,Project Manager ,330,423,33,83,8,No,Facebook,Data Science Enthusiasts,35,51,Webinars,Online Courses,Job Application Insights,6.3,Python developer,No,0
11,user_11,profile_11.jpg,Software Engineer ,626,83,50,193,3,Yes,Google,Project Managers,50,22,Webinars,Certifications,Learning Progress,5,Software Engineer ,No,1
12,user_12,profile_12.jpg,Python developer,113,380,28,196,7,Yes,Microsoft,Data Science Enthusiasts,46,12,Networking Events,Workshops,Post Engagement,6.2,java developer,Yes,0
13,user_13,profile_13.jpg,Data Scientist ,303,332,29,65,5,No,Amazon,HR Professionals,5,94,Networking Events,Online Courses,Post Engagement,4,Data Scientist ,No,1
14,user_14,profile_14.jpg,Data Scientist ,981,365,23,78,6,Yes,LinkedIn,Marketing Experts,20,52,Mentorship Programs,Skill Development Programs,Post Engagement,1.9,Data Scientist ,No,1
15,user_15,profile_15.jpg,Marketing Specialist ,556,377,19,99,7,No,Facebook,Technology Professionals,31,51,Meetups,Certifications,Followers Growth,6.6,java,Yes,0
16,user_16,profile_16.jpg,Human Resources ,645,315,50,59,3,Yes,Google,Technology Professionals,16,17,Conferences,Online Courses,Job Application Insights,7,Data Scientist ,No,0
17,user_17,profile_17.jpg,Human Resources ,819,213,50,110,5,Yes,Microsoft,Marketing Experts,49,55,Mentorship Programs,Workshops,Followers Growth,4.7,java,No,0
18,user_18,profile_18.jpg,Data Scientist ,372,473,26,84,6,No,Amazon,Marketing Experts,43,81,Conferences,Online Courses,Job Application Insights,4.8,Marketing Specialist ,No,0
19,user_19,profile_19.jpg,Software Engineer ,330,128,27,29,5,Yes,LinkedIn,Project Managers,19,13,Networking Events,Workshops,Job Application Insights,6.2,Project Manager ,No,0
20,user_20,profile_20.jpg,Marketing Specialist ,982,114,25,40,8,No,Facebook,Technology Professionals,38,42,Webinars,Workshops,Post Engagement,8.9,Marketing Specialist ,No,1
21,user_21,profile_21.jpg,Marketing Specialist ,165,441,44,198,6,Yes,Google,Data Science Enthusiasts,11,25,Meetups,Online Courses,Followers Growth,9.6,java,Yes,0
22,user_22,profile_22.jpg,Project Manager ,982,320,30,199,6,Yes,Microsoft,Technology Professionals,43,25,Networking Events,Workshops,Followers Growth,7.6,Project Manager ,Yes,1
